isLocalGuide,likesCount,fecha,tiempo_espera_reportado,rating_ambiente,rating_comida,rating_servicio,reviewerNumberOfReviews,rating,review_texto,restaurante,tiene_texto,text_limpio,idioma_detectado
True,0,2022-08-30 22:21:52.079000+00:00,,,,,5,5,Comida muy deliciosa 😊,Rukito Grill&Drink - Alborada,True,Comida muy deliciosa 😊,es
True,0,2021-06-16 17:27:53.128000+00:00,,,,,26,5,Excelente comida a la parrilla en el norte de Guayaquil.,Rukito Grill&Drink - Alborada,True,Excelente comida a la parrilla en el norte de Guayaquil.,es
False,0,2021-09-07 03:27:58.475000+00:00,,,,,11,5,Buena atención y la comida muy deliciosa.,Rukito Grill&Drink - Alborada,True,Buena atención y la comida muy deliciosa.,es
True,0,2022-10-02 20:15:13.517000+00:00,,,,,14,5,Buena comida los moros son diferentes a otros lugares buen ambiente aunque para mi opinión es muy pequeño,Rukito Grill&Drink - Alborada,True,Buena comida los moros son diferentes a otros lugares buen ambiente aunque para mi opinión es muy pequeño,es
True,0,2023-08-02 00:23:11.160000+00:00,,4.0,4.0,4.0,93,3,"Por ahí paso siempre y  veo que está con clientes, no he comido, supongo que ha de ser rica la carta.",Rukito Grill&Drink - Alborada,True,"Por ahí paso siempre y veo que está con clientes, no he comido, supongo que ha de ser rica la carta.",es
True,0,2021-09-13 22:24:13.355000+00:00,,,,,24,4,Es muy bueno...pero por la concurrencia hay que hacer colas de hasta 1 hora para entrar,Rukito Grill&Drink - Alborada,True,Es muy bueno...pero por la concurrencia hay que hacer colas de hasta 1 hora para entrar,es
True,0,2023-11-29 12:49:11.134000+00:00,,4.0,5.0,4.0,17,5,"Personalmente me gusta muchísimo los moros de este lugar, su lo visitan les recomiendo probar el tomahawk 10 puntos",Rukito Grill&Drink - Alborada,True,"Personalmente me gusta muchísimo los moros de este lugar, su lo visitan les recomiendo probar el tomahawk 10 puntos",es
True,0,2021-08-15 03:07:42.145000+00:00,,,,,22,5,Muy buena comida excelente👍👍👍muy muy muy recomendado,Rukito Grill&Drink - Alborada,True,Muy buena comida excelente👍👍👍muy muy muy recomendado,es
True,0,2021-04-03 19:43:29.594000+00:00,,,,,33,5,Excelente muy sabroso los asados y ni que hablar del moro chicloso de queso rico rico,Rukito Grill&Drink - Alborada,True,Excelente muy sabroso los asados y ni que hablar del moro chicloso de queso rico rico,es
True,0,2020-02-08 03:53:58.981000+00:00,,,,,124,4,"Buen sabor, buen servicio y precio razonable. El local un poco angosto únicamente.",Rukito Grill&Drink - Alborada,True,"Buen sabor, buen servicio y precio razonable. El local un poco angosto únicamente.",es
False,0,2023-06-06 17:34:12.177000+00:00,,,,,2,5,Excelente servicio y muy rica la comida,Rukito Grill&Drink - Alborada,True,Excelente servicio y muy rica la comida,es
False,0,2022-12-18 00:47:31.238000+00:00,,5.0,5.0,5.0,3,5,Atención muy buena y muy atento a las inquietudes los sr meseros exelente trato y muy bueno el TV para la espera.,Rukito Grill&Drink - Alborada,True,Atención muy buena y muy atento a las inquietudes los sr meseros exelente trato y muy bueno el TV para la espera.,es
True,1,2021-01-10 05:05:08.510000+00:00,,,,,24,2,"Se demoraron mucho en traer el pedido y las papas fritas estaban saladisimas  😞.
El moro riquísimo y la picaña✌️",Rukito Grill&Drink - Alborada,True,Se demoraron mucho en traer el pedido y las papas fritas estaban saladisimas 😞. El moro riquísimo y la picaña✌️,es
True,0,2026-01-08 21:27:46.685000+00:00,De 10 a 30 min,,,,50,5,Muy bueno,Rukito Grill&Drink - Alborada,True,Muy bueno,es
False,0,2022-03-28 00:19:23.963000+00:00,,,,,1,5,"Super Bueno, la atención y la comida, los RECOMIENDO A MIL",Rukito Grill&Drink - Alborada,True,"Super Bueno, la atención y la comida, los RECOMIENDO A MIL",es
False,0,2025-06-26 18:38:48.617000+00:00,,,,,3,5,Las papas las amo y la picaña de cerdo es lo mejor,Rukito Grill&Drink - Alborada,True,Las papas las amo y la picaña de cerdo es lo mejor,es
False,0,2021-07-25 05:26:10.625000+00:00,,,,,11,4,"Excelente sazón y excelente atención, lo único malo es que hay que esperar mucho tiempo afuera de pie para poder ingresar.",Rukito Grill&Drink - Alborada,True,"Excelente sazón y excelente atención, lo único malo es que hay que esperar mucho tiempo afuera de pie para poder ingresar.",es
True,0,2023-01-31 23:19:11.862000+00:00,,,,,147,4,"Excelente comida, los moros fuera de serie, la atención muy esmerada",Rukito Grill&Drink - Alborada,True,"Excelente comida, los moros fuera de serie, la atención muy esmerada",es
