isLocalGuide,likesCount,fecha,tiempo_espera_reportado,rating_ambiente,rating_comida,rating_servicio,reviewerNumberOfReviews,rating,review_texto,restaurante,tiene_texto,text_limpio,idioma_detectado,sentimiento,prob_positivo,prob_negativo,prob_neutral
True,0,2021-12-24 16:20:22.994000+00:00,,,,,65,5,Con los mijines escuela,Casa Res | Steak House (Mall del Sol),True,Con los mijines escuela,es,POS,0.6462790369987488,0.022697340697050095,0.3310236632823944
True,0,2020-12-02 19:59:09.508000+00:00,,,,,256,4,Delicious menú,Casa Res | Steak House (Mall del Sol),True,Delicious menú,es,POS,0.8216877579689026,0.02713874541223049,0.15117348730564117
True,0,2020-02-18 21:09:30.609000+00:00,,,,,66,5,Exquisito.,Casa Res | Steak House (Mall del Sol),True,Exquisito.,es,POS,0.7467467784881592,0.05896485596895218,0.19428841769695282
False,0,2021-08-12 03:17:32.974000+00:00,,,,,1,5,😍😍,Casa Res | Steak House (Mall del Sol),True,😍😍,es,NEU,0.2992868423461914,0.0992819145321846,0.6014313101768494
False,0,2020-02-12 12:12:19.184000+00:00,,,,,12,4,Acogedor y de calidad,Casa Res | Steak House (Mall del Sol),True,Acogedor y de calidad,es,POS,0.9219909906387329,0.009311729110777378,0.06869729608297348
True,0,2020-01-19 05:56:24.279000+00:00,,,,,26,4,👍,Casa Res | Steak House (Mall del Sol),True,👍,es,NEU,0.2113429307937622,0.058234866708517075,0.7304222583770752
True,0,2020-01-04 04:49:04.633000+00:00,,,,,23,4,👍,Casa Res | Steak House (Mall del Sol),True,👍,es,NEU,0.2113429307937622,0.058234866708517075,0.7304222583770752
True,0,2021-11-09 17:43:09.997000+00:00,,,,,11,5,O.K,Casa Res | Steak House (Mall del Sol),True,O.K,es,NEU,0.25533199310302734,0.2749505639076233,0.469717413187027
True,0,2020-12-04 18:27:07.854000+00:00,,,,,6,5,Buena comida,Casa Res | Steak House (Mall del Sol),True,Buena comida,es,NEU,0.35710716247558594,0.13962222635746002,0.5032705664634705
True,1,2021-10-01 00:40:50.648000+00:00,,,,,458,4,Todo rico!,Casa Res | Steak House (Mall del Sol),True,Todo rico!,es,POS,0.775545597076416,0.02877335622906685,0.19568106532096863
True,0,2020-12-31 21:05:34.266000+00:00,,,,,36,3,Buena carne,Casa Res | Steak House (Mall del Sol),True,Buena carne,es,NEU,0.2868126332759857,0.1926768720149994,0.5205105543136597
True,0,2020-01-10 05:10:12.862000+00:00,,,,,73,5,Mi preferido,Casa Res | Steak House (Mall del Sol),True,Mi preferido,es,NEU,0.4234345257282257,0.10390453040599823,0.47266101837158203
True,0,2020-08-30 13:45:56.467000+00:00,,,,,5,5,Bruna atención,Casa Res | Steak House (Mall del Sol),True,Bruna atención,es,NEU,0.32248440384864807,0.1527838110923767,0.5247318148612976
True,0,2021-06-13 21:08:43.070000+00:00,,,,,34,5,La comida es deliciosa,Casa Res | Steak House (Mall del Sol),True,La comida es deliciosa,es,POS,0.9514843821525574,0.004708623979240656,0.04380693659186363
True,1,2020-01-31 02:42:26.728000+00:00,,,,,140,5,Delicia de comida,Casa Res | Steak House (Mall del Sol),True,Delicia de comida,es,POS,0.9118068814277649,0.011620576493442059,0.07657252997159958
True,0,2022-04-28 13:36:25.775000+00:00,,,,,9,5,Excelente atención,Casa Res | Steak House (Mall del Sol),True,Excelente atención,es,POS,0.5032982230186462,0.07913434505462646,0.41756752133369446
False,0,2020-10-11 18:25:42.783000+00:00,,,,,1,5,Excelente servicio,Casa Res | Steak House (Mall del Sol),True,Excelente servicio,es,POS,0.5825915932655334,0.051172979176044464,0.36623549461364746
True,0,2024-04-08 02:49:23.643000+00:00,,5.0,5.0,5.0,113,5,EXCELENTE ATENCIÓN,Casa Res | Steak House (Mall del Sol),True,EXCELENTE ATENCIÓN,es,POS,0.5032982230186462,0.07913434505462646,0.41756752133369446
True,0,2020-03-19 11:18:30.943000+00:00,,,,,24,5,Muy buena,Casa Res | Steak House (Mall del Sol),True,Muy buena,es,POS,0.4705159068107605,0.12966492772102356,0.39981913566589355
False,0,2020-09-02 00:40:37.287000+00:00,,,,,3,5,Maravilloso,Casa Res | Steak House (Mall del Sol),True,Maravilloso,es,NEU,0.21591424942016602,0.29472115635871887,0.4893646240234375
